datetime_utc,price_usd,price_brl
2025-09-17 00:45:04,116706.91,618278.19
2025-09-17 01:09:36,116646.18,617921.49
2025-09-17 01:12:58,116652.55,617920.23
2025-09-17 02:35:30,116857.99,619137.02
2025-09-17 03:18:06,116784.66,618666.61
2025-09-17 03:45:07,116536.39,617328.22
2025-09-17 03:55:54,116490.39,617189.38
2025-09-17 04:24:39,116390.94,616476.25
2025-09-17 04:42:17,116305.18,616108.10
2025-09-17 04:53:46,116263.85,615766.50
2025-09-17 05:19:04,116683.89,618121.25
2025-09-17 05:40:28,116741.26,618413.49
2025-09-17 05:51:26,116924.04,619370.14
2025-09-17 06:30:09,117114.55,620402.62
2025-09-17 06:51:01,117119.86,620208.20
2025-09-17 07:19:09,117276.76,621144.63
2025-09-17 07:39:04,117249.84,620978.61
2025-09-17 07:51:46,117259.76,620925.59
2025-09-17 08:26:41,117026.32,619654.36
2025-09-17 08:47:53,116796.33,618494.97
2025-09-17 09:20:53,116741.09,618155.61
2025-09-17 09:40:26,116780.88,618518.24
2025-09-17 09:51:50,116636.04,617622.82
2025-09-17 10:19:54,116536.30,617024.77
2025-09-17 10:42:06,116436.06,616453.28
2025-09-17 10:53:24,116392.96,616254.15
2025-09-17 11:16:33,116355.08,616414.33
2025-09-17 11:38:14,116324.25,616157.94
2025-09-17 11:51:00,116375.18,616590.61
2025-09-17 12:40:48,116366.24,617346.19
2025-09-17 13:16:58,116143.60,615886.30
2025-09-17 13:43:25,116048.23,614869.95
2025-09-17 13:55:01,116140.87,615558.20
2025-09-17 14:19:20,116143.33,615106.70
2025-09-17 14:42:10,115654.63,613223.96
2025-09-17 14:53:05,115546.03,612682.69
2025-09-17 15:20:58,115778.09,613693.36
2025-09-17 15:40:37,115807.29,614415.46
2025-09-17 15:51:52,115854.23,615000.57
2025-09-17 16:25:15,115670.51,613990.62
2025-09-17 16:45:41,115508.27,613452.88
2025-09-17 17:16:47,115708.48,613821.89
2025-09-17 17:39:17,115789.25,614076.70
2025-09-17 17:51:27,116007.48,615500.88
2025-09-17 18:28:40,115854.95,612641.00
2025-09-17 18:48:56,114932.88,609914.29
2025-09-17 19:15:20,115676.73,613456.84
2025-09-17 19:38:29,115765.39,613406.07
2025-09-17 19:51:41,115748.23,613558.21
2025-09-17 20:20:52,115938.07,614552.94
